Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,PayloadSize,Mean,Error,StdDev,Median,Gen0,Gen1,Allocated
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,64,"19,006.0 ns",620.71 ns,369.37 ns,"18,976.2 ns",3.4180,0.0610,28688 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,64,669.9 ns,7.71 ns,5.10 ns,669.3 ns,0.0105,0.0000,88 B
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,1024,"27,131.2 ns",847.81 ns,560.77 ns,"27,380.9 ns",4.5776,0.1221,38488 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,1024,"1,219.5 ns",11.65 ns,6.93 ns,"1,218.6 ns",0.1240,0.0000,1048 B
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,8192,"87,937.7 ns","1,816.27 ns",949.95 ns,"87,911.0 ns",16.4795,1.5869,138312 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Decrypt,8192,"5,261.3 ns",187.68 ns,124.14 ns,"5,266.7 ns",0.9766,0.0000,8216 B
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,64,"22,097.9 ns","1,071.81 ns",637.82 ns,"22,221.4 ns",2.5024,0.0305,21120 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,64,791.1 ns,7.82 ns,5.17 ns,790.4 ns,0.0448,0.0000,376 B
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,1024,"28,950.8 ns",979.46 ns,512.28 ns,"28,941.8 ns",4.2114,0.1526,35240 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,1024,"1,264.6 ns",11.34 ns,6.75 ns,"1,265.6 ns",0.1965,0.0000,1656 B
'Canonical C# v0.2.10',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,8192,"80,428.5 ns","7,896.51 ns","4,130.03 ns","78,952.3 ns",15.6250,0.0000,131008 B
'Rust FFI',Job-UTCYKK,False,Default,Default,Default,Default,Default,Default,0000000000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,10,Default,Default,Default,Default,Default,Default,Default,Default,16,3,Encrypt,8192,"4,614.8 ns",104.54 ns,69.15 ns,"4,629.6 ns",1.3351,0.0000,11216 B
